genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L7(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B87T1B8,0,0,0,0,0,0,0,0,0,0.061430898,0.025266813,0.02723013,0.005792447,0.09346948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011681631,0,0
B62T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017372802,0.030908735,0,0,0,0,0.19470999,0.1830234,0.059801925,0,0.14860684,0.07896708,0.033371978,0,0.28787583,0.15725526,0.20235603,0.13953689,0.0319799,0.15684986,0.07332751,0.027129497,0.016881859
B13D1T1,0,0,0.01670485,0.037408672,0.012854903,0.023882888,0,0,0.017894395,0.033954002,0.03169904,0.019248454,0.023489077,0.014977356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B53T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018233985,0.047735814,0.11725,0.08517763,0.0630002,0.12412998,0.1079078,0.07907324,0.043574117,0.030474413,0.060441032,0.1254735,0.06802879,0.041327603,0.12991212,0.120320134,0.090648435
B60T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01868742,0.026736336,0.053904332,0.022657199,0.058458365,0.09130907,0.1742722,0,0.03862669,0.030751992,0.059941754,0.09513757,0.13604078,0.025931867,0.03776537,0.030662507,0.05433333
B2T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045595583,0.045424327,0.019935187,0,0.022374816,0.022808954,0,0,0.020385973,0.023092814,0.022497995,0,0,0.016127534,0.011791841,0,0
B27T1B10,0,0,0,0,0,0,0,0.032827374,0,0.011733188,0.036986418,0.051659074,0.020059297,0.049605258,0.031446647,0.019935854,0.116958916,0.3331759,0.4407757,0.21997386,0.011530877,0.017745938,0.020372106,0,0.021960173,0.027933734,0,0,0,0.011883729,0.01814974,0.028074322,0,0.021986721,0.044408426,0.0934645,0.04856202
B14T1B10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003610581,0,0,0,0.022392895,0.21826965,0,0.00969375,0.00840678,0.021047134,0,0,0,0,0,0,0.011604583,0.013250517,0,0,0,0.036004037,0.08153268,0
B9D1T1,0.026798034,0,0.03548735,0.05701255,0.031445943,0.009364214,0,0,0.020021666,0.013435206,0,0,0.006632858,0.007090907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B37T1B8,0,0,0,0,0,0,0,0,0,0.030233268,0.048610963,0.032721426,0.1173821,0.10377831,0.010065563,0,0,0,0.019232163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
