genome,MC02(8-10cmbsf),MC02(28-30cmbsf),D1T1(0-2cmbsf),D1T1(4-6cmbsf),D1T2(4-6cmbsf),D1T2(24-26cmbsf),T1B3R1(0-3cmbsf),T1B3R2(0-3cmbsf),T1B5(0-2cmbsf),T1B5(8-10cmbsf),T1B5(28-30cmbsf),T1B5(38-40cmbsf),T1B8(2-4cmbsf),T1B8(16-18cmbsf),T1L6T1(0-3cmbsf),T1L6T2(0-3cmbsf),T1B10(0-2cmbsf),T1B10(36-38cmbsf),T1B10(44-46cmbsf),T1B11(0-3cmbsf),T3L11(0-3cmbsf),T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),T3L8(0-3cmbsf),T3L8(6-9cmbsf),T3L8(12-15cmbsf),T3L8(18-21cmbsf),T3L14(0-2cmbsf),T3L14(4-6cmbsf),T3L14(6-8cmbsf),T3L14(12-14cmbsf),T3L14(18-20cmbsf),T1L10(0-3cmbsf),T1L10(6-9cmbsf),T1L10(12-15cmbsf),T1L10(18-21cmbsf)
B11T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017885378,0.017355248,0.016274687,0.01663213,0,0.022610249,0.02397513,0,0,0.034575656,0.030199237,0.043601025,0.05256212,0.03125129,0.017865876,0.01566874,0.008825713,0
B112T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0.003314393,0.013143912,0,0,0,0.030907778,0.028410085,0,0.13346992,0.17271118,0.06018124,0,0.13784853,0.14979194,0.051480617,0,0.13472083,0.09721845,0.12578848,0.19686845,0,0.28840023,0.2295858,0.063759506,0
B21D1T2,0.054942638,0.03803563,0.034936532,0.04842556,0.21243092,0.10936415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B61T1L10,0,0,0,0,0,0,0,0,0,0,0,0.004424296,0,0,0,0,0,0,0,0,0.014383875,0.012327059,0.013734995,0.009560762,0.0278322,0.0294276,0,0,0,0.011707167,0.014570414,0.027560638,0.033075444,0.034234583,0.052847195,0.053571865,0.02222276
B17T3L8,0,0,0,0,0,0,0.14803092,0.103820734,0.041701697,0.04388005,0,0,0.002596602,0,0.3297762,0.41980752,0,0,0,0.23926674,6.4234295,4.294878,2.670101,0.26185146,3.4308867,3.9490104,2.7662551,0.05030779,3.2541196,5.373203,4.2219887,3.3828177,2.6618843,4.1756196,4.907547,4.444957,1.5040392
B46T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009228709,0.03256246,0.021050122,0.027287694,0.027456727,0,0.04813257,0.16509433,0.057753008,0,0.061008897,0.032627504,0.03527735,0.045738954,0,0.078106135,0.15462525,0.04489181,0.04544182
B1T3L14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013510533,0.011613033,0.014505027,0,0.024305109,0.02509756,0,0,0.021428965,0.02058076,0.037230257,0.06903105,0.05854204,0,0.019694049,0.018219363,0
B19T1L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029111177,0.016280264,0.011000074,0,0,0,0.033039346,0,0,0,0,0,0,0.008419554,0.11469003,0.052489266
B25T1B10,0,0,0,0,0,0,0,0,0.008873889,0.024134014,0.0278007,0.046221867,0.03177769,0.044187814,0.03151831,0.026624732,0.36108258,0.13176572,0.16991308,0.016150773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B9T3L11,0,0,0,0,0,0,0,0,0,0,0.01924208,0,0.007809282,0.003455286,0,0,0,0,0.014594547,0,0.030004028,0.10891328,0.038518447,0,0,0,0,0,0,0.014068214,0.018799335,0,0,0.028979812,0.07494526,0.030363696,0
B80T3L11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724571,0.024268579,0,0,0,0,0.09063627,0.22317433,0.059362408,0.07619573,0.03677754,0.04667165,0,0.1396828,0.14781855,0.041512787,0.044665687,0.048877724,0.04836888,0.023008594,0.021195699,0.023291633,0.020983957
