cluster,T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),MAGs,Phylum
cluster230,0.000117,0.000125,0.000132,B10T3L14,Chloroflexota
cluster231,0.000007,0.000001,0.000003,B9T1B10,UBP7_A
cluster232,0.002564,0.002743,0.002894,B39T3L11;B37T1L10;B30T3L14;B28T1B10;B19T1B8,Chloroflexota
cluster233,0.004244,0.004551,0.004657,B4T3L11;B43T1L10;B41T1B8,Chloroflexota
cluster234,0.001232,0.00126,0.001347,B17T1B5,Chloroflexota
cluster235,0.000135,0.000128,0.000123,B74T3L11,Chloroflexota
cluster236,0.001185,0.000929,0.000322,B66T1B5,Acidobacteriota
cluster237,0.00001,0.000003,0.000006,B8T1B8,Krumholzibacteriota
cluster238,0.000077,0.000077,0.000063,B6T1B3;B50T1B5;B3D1T1;B25T1B10;B23T1L6;B1D1T2;B13MC02,Acidobacteriota
cluster239,0.000004,0,0.000002,B12D1T2,Myxococcota
cluster240,0.000009,0.000012,0.000012,B7T1B8,Myxococcota
cluster241,0.000001,0,0,B19T1B5,Myxococcota
cluster242,0.000002,0,0.000001,B43T1B5,Myxococcota
cluster243,0.004061,0.004448,0.004517,B51T3L14;B47T3L11,Bacteroidota
cluster244,0.002022,0.002199,0.002261,B7T1B5,Bacteroidota
cluster245,0.030405,0.031912,0.033479,B62T3L11;B101T1L10,Gemmatimonadota
cluster246,0.01301,0.013684,0.014247,B56T3L14,Gemmatimonadota
cluster247,0.001305,0.001419,0.00145,B5T1B3,Gemmatimonadota
cluster248,0.000489,0.000512,0.000559,B23T3L8,Gemmatimonadota
cluster249,0.001004,0.000988,0.001043,B89T1B8,Gemmatimonadota
cluster250,0.023192,0.024534,0.025613,B93T3L11,Gemmatimonadota
cluster251,0.002105,0.002188,0.002262,B4T3L14,Gemmatimonadota
cluster252,0.000005,0.000004,0.000004,B17T1L6,SAR324
cluster253,0.000046,0.000052,0.000044,B99T1B8,SAR324
cluster254,0.012563,0.01355,0.014035,B41T3L14;B11T3L8,SAR324
cluster255,0.004536,0.004944,0.005053,B105T1L10,SAR324
cluster256,0.000225,0.0002,0.000059,B13D1T2,Bacteroidota
cluster257,0.000282,0.000151,0.000032,B24T1B5,Bacteroidota
cluster258,0.000024,0.00001,0.000018,B24T1B8;B11T1L6,SAR324
cluster259,0.018125,0.019521,0.020177,B97T1B8;B34T3L8;B20T1B10,Bacteroidota
cluster260,0.00492,0.00527,0.005507,B22T3L14,Bacteroidota
cluster261,0.000143,0.000167,0.000154,B87T1B8;B61T1B5,Myxococcota
cluster262,0.000098,0.000121,0.000122,B75T1B5;B3T1L6,Myxococcota
cluster263,0.000013,0.000013,0.000019,B22T1B5,Myxococcota
cluster264,0.000005,0,0.000001,B8D1T1,Myxococcota
cluster265,0.007256,0.007926,0.008331,B9T1L6;B97T1L10;B74T1B5;B18T1B8,Gemmatimonadota
cluster266,0.084713,0.093051,0.093917,B76T3L11;B6T1B5;B3T1B10;B32T1L10;B19T1L6;B13T1B8;B12T3L8,Gemmatimonadota
cluster267,0.000074,0.000089,0.00008,B5D1T1,Gemmatimonadota
