cluster,T3L11(6-9cmbsf),T3L11(12-15cmbsf),T3L11(18-21cmbsf),MAGs,Phylum
cluster346,0.019245,0.021323,0.02154,B91T1L10;B41T3L11;B39T1B8;B30T3L8;B13T1B5,Proteobacteria
cluster347,0.02889,0.030945,0.03201,B64T3L11,Proteobacteria
cluster348,0.000257,0.000258,0.000232,B80T1B8,Proteobacteria
cluster349,0.011999,0.013135,0.013426,B61T3L11,Proteobacteria
cluster350,0.000281,0.000313,0.002204,B93T1B8;B65T1B5;B40T1B10,Proteobacteria
cluster351,0.033147,0.035123,0.036516,B112T1L10,Proteobacteria
cluster352,0.00129,0.00141,0.001424,B45T1B8,Proteobacteria
cluster353,0.000796,0.000914,0.000861,B65T1B8,Proteobacteria
cluster354,0.001791,0.001775,0.001933,B59T3L14;B51T1L10,Proteobacteria
cluster355,0.001345,0.001606,0.001544,B3T3L11,Proteobacteria
cluster356,0.000917,0.000895,0.000931,B42T1B8;B2T1B5,Proteobacteria
cluster357,0.00385,0.00413,0.00419,B29T3L14,Proteobacteria
cluster358,0.003573,0.004057,0.004029,B99T3L11;B61T1L10;B1T3L14,Marinisomatota
cluster359,0.001813,0.001943,0.001934,B61T3L14;B56T1L10;B48T3L11,Marinisomatota
cluster360,0.000759,0.000727,0.000801,B96T1B8;B10T1B10,Marinisomatota
cluster361,0.000628,0.000672,0.000719,B29T1L10,Marinisomatota
cluster362,0.001265,0.000348,0.000139,B8T1B10,Marinisomatota
cluster363,0.000059,0.000039,0.00001,B24T1B11,Marinisomatota
cluster364,0.000001,0.000002,0.000002,B5MC02,Methylomirabilota
cluster365,0.001682,0.001758,0.001816,B22T1L10,Zixibacteria
cluster366,0.00309,0.003389,0.00346,B55T3L14,Zixibacteria
cluster367,0.001018,0.001116,0.001134,B20T3L8,Zixibacteria
cluster368,0.000386,0.000413,0.000413,B21T1B10,Zixibacteria
cluster369,0.000593,0.000606,0.000615,B48T1L10;B22T1B11,Zixibacteria
cluster370,0.000119,0.000109,0.000106,B77T1B8,Zixibacteria
cluster371,0.000055,0.000077,0.00007,B17T1B3,Zixibacteria
cluster372,0.000005,0.000008,0.000007,B23D1T2,Zixibacteria
cluster373,0.000001,0,0,B27T1B8,Zixibacteria
cluster374,0.000103,0.000151,0.00012,B31T1B10;B26T1B8,Bacteroidota
cluster375,0.00002,0.000029,0.000019,B72T1L10,Patescibacteria
cluster376,0.000003,0.000002,0.000002,B81T1L10,Patescibacteria
cluster377,0.000203,0.000184,0.00021,B106T1L10,Patescibacteria
cluster378,0,0,0.000001,B90T1B8,Patescibacteria
cluster379,0.000083,0.000084,0.000095,B40T1B5;B33T1B8,Bacteroidota
cluster380,0.013608,0.014765,0.015626,B25T1L10,Bacteroidota
cluster381,0.000017,0,0.000001,B46T1B8,Patescibacteria
cluster382,0.000034,0.001159,0.00001,B1T1B10,Bacteroidota
cluster383,0.000081,0.000111,0.000106,B9T1L10,Patescibacteria
